SiteID,SiteName,Provider,Backend,Access,Usr,Pwd,SeverName,Latitude,Longitude,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
DAFWA_MP,Manypeaks,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-34.76794444,118.2245556,DAFWA_MP_Rainfall,DAFWA_MP_Rainfall,2008-12-04,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_SG,Salmon Gums,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-32.997093,121.622136,DAFWA_SG_Rainfall,DAFWA_SG_Rainfall,2008-12-12,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_WE,Wellstead,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-34.49166667,118.6191667,DAFWA_WE_Rainfall,DAFWA_WE_Rainfall,2008-12-04,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_EW,Wickepin East,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-32.743018,117.863876,DAFWA_EW_Rainfall,DAFWA_EW_Rainfall,2008-11-22,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_FL,Floreat Park,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-31.951181,115.792334,DAFWA_FL_Rainfall,DAFWA_FL_Rainfall,2008-11-14,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_KA,Katanning,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-33.683085,117.611931,DAFWA_KA_Rainfall,DAFWA_KA_Rainfall,2004-05-20,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_MY,Myalup,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-33.091703,115.717528,DAFWA_MY_Rainfall,DAFWA_MY_Rainfall,2007-03-14,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_SP,South Perth,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-31.991043,115.886068,DAFWA_SP_Rainfall,DAFWA_SP_Rainfall,2001-04-27,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_VA,Vasse,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-33.752861,115.359807,DAFWA_VA_Rainfall,DAFWA_VA_Rainfall,2000-08-28,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_WI,Wickepin,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-32.892121,117.767422,DAFWA_WI_Rainfall,DAFWA_WI_Rainfall,2008-11-23,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_WN,Wanneroo,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-31.583153,115.694155,DAFWA_WN_Rainfall,DAFWA_WN_Rainfall,2006-03-01,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_FR,Frankland,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-34.36490058,116.9806311,DAFWA_FR_Rainfall,DAFWA_FR_Rainfall,2009-08-13,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_DA,Dardanup (Waterloo),DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-33.33677,115.783505,DAFWA_DA_Rainfall,DAFWA_DA_Rainfall,2010-03-15,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_HV,Harvey,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-33.062245,115.854561,DAFWA_HV_Rainfall,DAFWA_HV_Rainfall,2010-03-15,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_ES001,Erangy Springs,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-28.84754,115.27215,DAFWA_ES001_Rainfall,DAFWA_ES001_Rainfall,2012-06-20,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_CA,Carnarvon 1,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-24.858472,113.7168817,DAFWA_CA_Rainfall,DAFWA_CA_Rainfall,2001-12-29,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_EN001,Eneabba,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-29.77764,115.31929,DAFWA_EN001_Rainfall,DAFWA_EN001_Rainfall,2012-06-14,NA,Rainfall,NA,NA,TRUE,mm
DAFWA_LK,Lake King,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,https://api.agric.wa.gov.au/v1,-33.025421,119.800027,DAFWA_LK_Rainfall,DAFWA_LK_Rainfall,2008-12-03,NA,Rainfall,NA,NA,TRUE,mm
