SiteID,SiteName,Provider,Backend,Access,Usr,Pwd,Latitude,Longitude,Active,Owner,Contact,ProviderURL,Description
DAFWA_MP,Manypeaks,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-34.76794444,118.2245556,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_SG,Salmon Gums,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-32.997093,121.622136,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_WE,Wellstead,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-34.49166667,118.6191667,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_EW,Wickepin East,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-32.743018,117.863876,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_FL,Floreat Park,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-31.951181,115.792334,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_KA,Katanning,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-33.683085,117.611931,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_MY,Myalup,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-33.091703,115.717528,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_SP,South Perth,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-31.991043,115.886068,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_VA,Vasse,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-33.752861,115.359807,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
DAFWA_WI,Wickepin,DAFWA,DAFWA,Public,,CCB3F85A64008C6AC1789E4F.apikey,-32.892121,117.767422,TRUE,WA Department of Primary Industries and Regional Development (DPIRD),enquiries@dpird.wa.gov.au,https://api.agric.wa.gov.au/v1,Part of the DAFWA weather staion network
