SiteID,SiteName,SensorGroup,Backend,Access,Usr,Pwd,Latitude,Longitude,Owner,Contact,ProviderURL,Description,ServerName
OzNet_y1,Yanco 1,OzNet,SenFedStore,Public,OzN,OzN,-34.62888,145.84895,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y10,Yanco 10,OzNet,SenFedStore,Public,OzN,OzN,-35.00535,146.30988,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y11,Yanco 11,OzNet,SenFedStore,Public,OzN,OzN,-35.10975,145.93553,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y12,Yanco 12,OzNet,SenFedStore,Public,OzN,OzN,-35.0696,146.16893,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y13,Yanco 13,OzNet,SenFedStore,Public,OzN,OzN,-35.09025,146.30648,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y2,Yanco 2,OzNet,SenFedStore,Public,OzN,OzN,-34.65478,146.11028,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y3,Yanco 3,OzNet,SenFedStore,Public,OzN,OzN,-34.6208,146.4239,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y4,Yanco 4,OzNet,SenFedStore,Public,OzN,OzN,-34.71943,146.02003,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y5,Yanco 5,OzNet,SenFedStore,Public,OzN,OzN,-34.72835,146.29317,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y6,Yanco 6,OzNet,SenFedStore,Public,OzN,OzN,-34.84262,145.86692,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y7,Yanco 7,OzNet,SenFedStore,Public,OzN,OzN,-34.85183,146.1153,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y8,Yanco 8,OzNet,SenFedStore,Public,OzN,OzN,-34.84697,146.41398,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_y9,Yanco 9,OzNet,SenFedStore,Public,OzN,OzN,-34.96777,146.01632,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA1,Yanco A1,OzNet,SenFedStore,Public,OzN,OzN,-34.68425,146.089695,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA3,Yanco A3,OzNet,SenFedStore,Public,OzN,OzN,-34.73521,146.08197,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA4a,Yanco A4a,OzNet,SenFedStore,Public,OzN,OzN,-34.70601,146.07937,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA4b,Yanco A4b,OzNet,SenFedStore,Public,OzN,OzN,-34.70306,146.10529,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA4c,Yanco A4c,OzNet,SenFedStore,Public,OzN,OzN,-34.71421,146.09425,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA4d,Yanco A4d,OzNet,SenFedStore,Public,OzN,OzN,-34.7142,146.07506,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA4e,Yanco A4e,OzNet,SenFedStore,Public,OzN,OzN,-34.72139,146.10297,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
OzNet_YA5,Yanco A5,OzNet,SenFedStore,Public,OzN,OzN,-34.712858,146.127712,Monash University,sandra.monerris-belda(at)monash.edu,http://www.oznet.org.au/,An Australian monitoring network for soil moisture and micrometeorology,http://esoil.io
